10	10	128	13434814	85173	720403	18,0233	0,926248	-0,0904479	-17,9329	
10	15	128	13434809	7952	11426941	23,3265	0,994905	-0,00978237	-23,3167	
12	10	128	7225550	46631	804268	18,4246	0,939199	-0,0920171	-18,3325	
12	15	128	7225545	2088	6688485	22,6206	0,997678	-0,00541868	-22,6152	
14	10	128	8808850	96941	606631	17,6794	0,920301	-0,147946	-17,5315	
14	15	128	8808845	7288	7542159	22,7311	0,994948	-0,0126787	-22,7185	
15	10	128	11584384	33136	953971	19,2217	0,967683	-0,0426505	-19,179	
15	15	128	11584379	13440	10893541	23,3188	0,997513	-0,0172953	-23,3015	
19	10	128	16040657	174095	773226	18,0187	0,921177	-0,146483	-17,8722	
19	15	128	16040652	7434	13256022	23,5056	0,993467	-0,00833816	-23,4972	
29	10	128	14557580	214131	764934	17,7976	0,910598	-0,192111	-17,6055	
29	15	128	14557575	8625	11611764	23,2712	0,991569	-0,0104531	-23,2608	
33	10	128	7115412	91078	728472	17,9213	0,920242	-0,169666	-17,7516	
33	15	128	7115407	2877	6223562	22,4637	0,995319	-0,00738058	-22,4563	
35	10	128	7451298	46401	829410	18,4938	0,940601	-0,0891124	-18,4047	
35	15	128	7451293	2004	6934517	22,6771	0,997874	-0,00506821	-22,672	
38	10	128	8249648	96881	785941	18,069	0,922638	-0,157133	-17,9119	
38	15	128	8249643	3048	7211233	22,6753	0,995323	-0,00679296	-22,6685	
40	10	128	13473535	78565	927423	18,6349	0,940069	-0,0839101	-18,5509	
40	15	128	13473530	6806	11830020	23,4062	0,996182	-0,00891533	-23,3973	
41	10	128	14782116	234678	758359	17,7257	0,907497	-0,205612	-17,5201	
41	15	128	14782111	9388	11585207	23,2445	0,99057	-0,0111508	-23,2334	
45	10	128	7649851	92286	755028	17,9909	0,921376	-0,160942	-17,83	
45	15	128	7649846	2827	6710849	22,5764	0,995518	-0,00679276	-22,5696	
46	10	128	6885083	46241	772964	18,3466	0,937962	-0,0953768	-18,2512	
46	15	128	6885078	1596	6390374	22,5575	0,99779	-0,00441685	-22,5531	
47	10	128	7161141	45953	805060	18,4303	0,939422	-0,0915508	-18,3387	
47	15	128	7161136	4739	6648818	22,6132	0,99773	-0,0116139	-22,6016	
56	10	128	7235005	47005	802164	18,4181	0,939053	-0,0925722	-18,3256	
56	15	128	7235000	1580	6672547	22,6151	0,997587	-0,00417695	-22,6109	
62	10	128	6918757	47315	778478	18,3575	0,93803	-0,0968255	-18,2607	
62	15	128	6918752	2688	6408506	22,5589	0,997671	-0,00634486	-22,5525	
72	10	128	7485504	47765	805340	18,4304	0,939403	-0,0910838	-18,3393	
72	15	128	7485499	1711	6886421	22,6598	0,997554	-0,0043593	-22,6554	
73	10	128	7021143	46451	783333	18,3733	0,938408	-0,0940964	-18,2792	
73	15	128	7021138	1650	6466420	22,5681	0,997506	-0,00447102	-22,5636	
82	10	128	7460467	92236	755127	17,9908	0,921358	-0,164495	-17,8263	
82	15	128	7460462	2606	6535074	22,5365	0,99544	-0,00645294	-22,5301	
83	10	128	7407494	136310	740118	17,8031	0,913103	-0,233795	-17,5693	
83	15	128	7407489	4794	6302708	22,4401	0,993471	-0,0113757	-22,4287	
