10	10	128	13434814	85173	720361	18,0233	0,926249	-0,0904479	-17,9328	
10	15	128	13434809	7952	11411742	23,3239	0,994878	-0,00978237	-23,3142	
12	10	128	7225550	46631	804204	18,4245	0,939201	-0,0920171	-18,3325	
12	15	128	7225545	2089	6683445	22,6191	0,997661	-0,00542106	-22,6137	
14	10	128	8808850	96941	606594	17,6794	0,920303	-0,147946	-17,5314	
14	15	128	8808845	7288	7535550	22,7295	0,994931	-0,0126787	-22,7168	
15	10	128	11584384	33136	953866	19,2215	0,967683	-0,0426505	-19,1788	
15	15	128	11584379	13441	10879776	23,3164	0,997485	-0,0172967	-23,2991	
19	10	128	16040657	174095	773165	18,0187	0,92118	-0,146483	-17,8722	
19	15	128	16040652	7434	13235394	23,5027	0,993438	-0,00833816	-23,4943	
29	10	128	14557580	214131	764883	17,7976	0,9106	-0,192111	-17,6055	
29	15	128	14557575	8626	11596068	23,2687	0,991545	-0,0104542	-23,2583	
33	10	128	7115412	91078	728414	17,9212	0,920244	-0,169666	-17,7515	
33	15	128	7115407	2877	6219073	22,4623	0,995304	-0,00738058	-22,4549	
35	10	128	7451298	46401	829338	18,4938	0,940603	-0,0891124	-18,4046	
35	15	128	7451293	2005	6929015	22,6755	0,997856	-0,00507059	-22,6704	
38	10	128	8249648	96881	785871	18,0689	0,922641	-0,157133	-17,9118	
38	15	128	8249643	3048	7205149	22,6736	0,995305	-0,00679296	-22,6669	
40	10	128	13473535	78565	927335	18,6348	0,940071	-0,0839101	-18,5509	
40	15	128	13473530	6806	11813799	23,4036	0,996154	-0,00891533	-23,3947	
41	10	128	14782116	234678	758308	17,7257	0,907499	-0,205612	-17,52	
41	15	128	14782111	9388	11569614	23,242	0,990547	-0,0111508	-23,2309	
45	10	128	7649851	92286	754962	17,9909	0,921378	-0,160942	-17,8299	
45	15	128	7649846	2828	6705683	22,5749	0,995501	-0,00679497	-22,5681	
46	10	128	6885083	46241	772910	18,3465	0,937963	-0,0953768	-18,2511	
46	15	128	6885078	1596	6385841	22,5561	0,997774	-0,00441685	-22,5517	
47	10	128	7161141	45953	804991	18,4302	0,939423	-0,0915508	-18,3386	
47	15	128	7161136	4739	6643719	22,6117	0,997712	-0,0116139	-22,6001	
56	10	128	7235005	47005	802102	18,4181	0,939054	-0,0925722	-18,3255	
56	15	128	7235000	1580	6667350	22,6136	0,997569	-0,00417695	-22,6094	
62	10	128	6918757	47315	778417	18,3575	0,938032	-0,0968255	-18,2606	
62	15	128	6918752	2688	6403743	22,5574	0,997654	-0,00634486	-22,5511	
72	10	128	7485504	47765	805271	18,4303	0,939405	-0,0910838	-18,3392	
72	15	128	7485499	1711	6881014	22,6582	0,997537	-0,0043593	-22,6539	
73	10	128	7021143	46451	783271	18,3733	0,93841	-0,0940964	-18,2792	
73	15	128	7021138	1650	6461553	22,5666	0,997489	-0,00447102	-22,5622	
82	10	128	7460467	92236	755063	17,9907	0,921361	-0,164495	-17,8262	
82	15	128	7460462	2607	6530175	22,5351	0,995423	-0,00645524	-22,5286	
83	10	128	7407494	136310	740065	17,8031	0,913105	-0,233795	-17,5693	
83	15	128	7407489	4794	6298096	22,4387	0,993456	-0,0113757	-22,4273	
