19 | 62	10	128	16	8	12	2	12	16040657	6918757	881189	434175	19,6598	0,995481	-0,257395	-19,4024	19,4375	0,994813	19,4423	0,994681	0,468989	0,219951	12,5944
19 | 62	10	256	16	16	12	2	12	16040657	6918757	881189	867233	19,5704	0,99095	-0,514187	-19,0562	19,3357	0,989603	19,3388	0,989387	0,482809	0,233105	29,8948
19 | 62	10	512	32	16	12	2	12	16040657	6918757	881189	1733165	19,3896	0,981797	-1,02741	-18,3622	19,1305	0,979105	19,1304	0,978722	0,509048	0,25913	30,3187
19 | 62	10	1024	64	16	12	2	12	16040657	6918757	881189	3464542	19,0218	0,963173	-2,05385	-16,9679	18,7138	0,957776	18,707	0,95706	0,558037	0,311405	30,3108
19 | 62	10	2048	64	32	12	2	12	16040657	6918757	881189	6926644	18,2554	0,924364	-4,10496	-14,1504	17,8512	0,91363	17,8302	0,912204	0,643915	0,414626	55,9256
19 | 62	15	256	16	16	12	3	12	16040652	6918752	18805100	735494	23,8796	0,988204	-0,443612	-23,436	23,3657	0,987464	22,3461	0,988278	1,01176	1,02367	34,6008
29 | 10	10	128	16	8	12	2	12	14557580	13434814	840731	530346	19,5946	0,995595	-0,259334	-19,3353	19,419	0,994777	19,3438	0,994826	0,461724	0,213189	15,0641
29 | 10	10	256	16	16	12	2	12	14557580	13434814	840731	1055570	19,509	0,991244	-0,516902	-18,9921	19,3187	0,989635	19,243	0,989644	0,477627	0,228128	36,4687
29 | 10	10	512	32	16	12	2	12	14557580	13434814	840731	2105624	19,3356	0,982438	-1,03128	-18,3044	19,1165	0,979278	19,04	0,979202	0,507351	0,257405	35,2672
29 | 10	10	1024	64	16	12	2	12	14557580	13434814	840731	4205285	18,9826	0,964502	-2,05998	-16,9227	18,7058	0,95824	18,6273	0,95798	0,562214	0,316084	35,6459
29 | 10	10	2048	64	32	12	2	12	14557580	13434814	840731	8403638	18,2454	0,927045	-4,11476	-14,1307	17,856	0,914709	17,7725	0,914017	0,656642	0,431179	66,23
29 | 10	15	256	16	16	12	3	12	14557575	13434809	21437651	895181	24,0668	0,988222	-0,446604	-23,6202	23,1405	0,987671	23,1362	0,98764	0,963549	0,928427	36,209
29 | 40	10	128	16	8	12	2	12	14557580	13473535	967722	532813	19,7934	0,99543	-0,260105	-19,5332	19,419	0,994777	19,7208	0,994516	0,472688	0,223434	15,3854
29 | 40	10	256	16	16	12	2	12	14557580	13473535	967722	1061110	19,7037	0,990922	-0,519	-19,1847	19,3187	0,989635	19,6116	0,989007	0,488472	0,238605	34,4256
29 | 40	10	512	32	16	12	2	12	14557580	13473535	967722	2117479	19,5217	0,981769	-1,03551	-18,4862	19,1165	0,979278	19,3915	0,977907	0,517455	0,26776	35,2562
29 | 40	10	1024	64	16	12	2	12	14557580	13473535	967722	4229691	19,1505	0,9631	-2,06757	-17,0829	18,7058	0,95824	18,9446	0,95537	0,570371	0,325323	35,6235
29 | 40	10	2048	64	32	12	2	12	14557580	13473535	967722	8452864	18,3784	0,924272	-4,13085	-14,2476	17,856	0,914709	18,0206	0,908777	0,663399	0,440098	66,786
29 | 40	15	256	16	16	12	3	12	14557575	13473530	21409612	896137	24,0651	0,988228	-0,446489	-23,6186	23,1405	0,987671	23,1924	0,987602	0,94797	0,898647	37,1769
29 | 56	10	128	16	8	12	2	12	14557580	7235005	895375	413570	19,6824	0,995459	-0,25853	-19,4238	19,419	0,994777	19,5035	0,994678	0,470208	0,221096	11,8902
29 | 56	10	256	16	16	12	2	12	14557580	7235005	895375	822574	19,5936	0,990968	-0,514714	-19,0788	19,3187	0,989635	19,3987	0,989335	0,484631	0,234867	27,478
29 | 56	10	512	32	16	12	2	12	14557580	7235005	895375	1640356	19,4143	0,981903	-1,02682	-18,3875	19,1165	0,979278	19,1876	0,978566	0,512147	0,262294	28,8745
29 | 56	10	1024	64	16	12	2	12	14557580	7235005	895375	3275454	19,0495	0,963454	-2,05092	-16,9986	18,7058	0,95824	18,7587	0,956693	0,563294	0,3173	27,8079
29 | 56	10	2048	64	32	12	2	12	14557580	7235005	895375	6544291	18,2905	0,925067	-4,0978	-14,1927	17,856	0,914709	17,8713	0,911439	0,653347	0,426862	55,0249
29 | 56	15	256	16	16	12	3	12	14557575	7235000	17014992	696730	23,7416	0,988398	-0,443905	-23,2977	23,1405	0,987671	22,4185	0,988279	0,980876	0,962118	29,7835
35 | 38	10	128	16	8	12	2	12	7451298	8249648	922982	297676	19,7267	0,995495	-0,259518	-19,4671	19,5448	0,994641	19,4674	0,994774	0,469685	0,220604	8,62962
35 | 38	10	256	16	16	12	2	12	7451298	8249648	922982	594765	19,6374	0,990989	-0,518875	-19,1185	19,439	0,989257	19,365	0,989545	0,48517	0,23539	21,1339
35 | 38	10	512	32	16	12	2	12	7451298	8249648	922982	1188721	19,4573	0,981903	-1,03741	-18,4199	19,226	0,978417	19,1588	0,979008	0,514726	0,264943	19,7264
35 | 38	10	1024	64	16	12	2	12	7451298	8249648	922982	2376101	19,0901	0,963373	-2,07349	-17,0166	18,7933	0,956398	18,7401	0,957613	0,568709	0,323429	20,456
35 | 38	10	2048	64	32	12	2	12	7451298	8249648	922982	4750350	18,3256	0,924789	-4,14465	-14,1809	17,898	0,910835	17,8737	0,913337	0,663141	0,439756	37,7303
35 | 38	15	256	16	16	12	3	12	7451293	8249643	13417249	502645	23,412	0,988784	-0,447018	-22,965	22,4529	0,988248	22,5131	0,988202	0,963849	0,929005	21,3786
40 | 10	10	128	16	8	12	2	12	13473535	13434814	963098	511729	19,7868	0,995448	-0,260551	-19,5263	19,7208	0,994516	19,3438	0,994826	0,504532	0,254552	14,9987
40 | 10	10	256	16	16	12	2	12	13473535	13434814	963098	1022706	19,6963	0,990894	-0,521062	-19,1753	19,6116	0,989007	19,243	0,989644	0,518679	0,269028	35,288
40 | 10	10	512	32	16	12	2	12	13473535	13434814	963098	2044477	19,5134	0,981691	-1,0417	-18,4717	19,3915	0,977907	19,04	0,979202	0,545595	0,297674	35,3334
40 | 10	10	1024	64	16	12	2	12	13473535	13434814	963098	4087624	19,1406	0,962935	-2,08251	-17,0581	18,9446	0,95537	18,6273	0,95798	0,595519	0,354643	35,9879
40 | 10	10	2048	64	32	12	2	12	13473535	13434814	963098	8173174	18,3645	0,92389	-4,16318	-14,2013	18,0206	0,908777	17,7725	0,914017	0,684031	0,467898	67,2657
40 | 10	15	256	16	16	12	3	12	13473530	13434809	22133843	861270	24,1112	0,988173	-0,446991	-23,6642	23,1924	0,987602	23,1362	0,98764	0,973068	0,946861	37,167
40 | 38	10	128	16	8	12	2	12	13473535	8249648	980025	412635	19,8108	0,995396	-0,259457	-19,5514	19,7208	0,994516	19,4674	0,994774	0,465557	0,216743	11,8582
40 | 38	10	256	16	16	12	2	12	13473535	8249648	980025	824669	19,7191	0,990788	-0,51885	-19,2003	19,6116	0,989007	19,365	0,989545	0,480437	0,230819	27,8162
40 | 38	10	512	32	16	12	2	12	13473535	8249648	980025	1648694	19,5335	0,981463	-1,03704	-18,4965	19,3915	0,977907	19,1588	0,979008	0,508317	0,258386	29,1699
40 | 38	10	1024	64	16	12	2	12	13473535	8249648	980025	3296115	19,1551	0,962447	-2,07236	-17,0827	18,9446	0,95537	18,7401	0,957613	0,559221	0,312728	32,6256
40 | 38	10	2048	64	32	12	2	12	13473535	8249648	980025	6590253	18,3681	0,922906	-4,14232	-14,2258	18,0206	0,908777	17,8737	0,913337	0,648808	0,420952	54,7733
40 | 38	15	256	16	16	12	3	12	13473530	8249643	18011508	695133	23,8221	0,98837	-0,445553	-23,3765	23,1924	0,987602	22,5131	0,988202	0,984564	0,969365	29,427
41 | 10	10	128	16	8	12	2	12	14782116	13434814	845863	539131	19,6025	0,995553	-0,26156	-19,3409	19,4114	0,994672	19,3438	0,994826	0,474268	0,22493	16,0718
41 | 10	10	256	16	16	12	2	12	14782116	13434814	845863	1067669	19,5167	0,991197	-0,518585	-18,9982	19,3115	0,989555	19,243	0,989644	0,489378	0,239491	36,7593
41 | 10	10	512	32	16	12	2	12	14782116	13434814	845863	2123902	19,3437	0,982409	-1,03212	-18,3116	19,1105	0,979257	19,04	0,979202	0,518119	0,268447	36,8503
41 | 10	10	1024	64	16	12	2	12	14782116	13434814	845863	4235718	18,9908	0,964484	-2,05847	-16,9323	18,7024	0,958344	18,6273	0,95798	0,570876	0,325899	37,7448
41 | 10	10	2048	64	32	12	2	12	14782116	13434814	845863	8458433	18,2548	0,927108	-4,1096	-14,1452	17,858	0,915075	17,7725	0,914017	0,663003	0,439573	69,2674
41 | 10	15	256	16	16	12	3	12	14782111	13434809	21283641	902748	24,0566	0,988224	-0,44676	-23,6098	23,1898	0,987616	23,1362	0,98764	0,945284	0,893562	40,9228
41 | 19	10	128	16	8	12	2	12	14782116	16040657	855274	586135	19,6177	0,995516	-0,259411	-19,3583	19,4114	0,994672	19,4375	0,994813	0,439609	0,193256	18,5924
41 | 19	10	256	16	16	12	2	12	14782116	16040657	855274	1162195	19,5311	0,991124	-0,515171	-19,0159	19,3115	0,989555	19,3357	0,989603	0,455561	0,207536	40,4595
41 | 19	10	512	32	16	12	2	12	14782116	16040657	855274	2313580	19,3574	0,982306	-1,02715	-18,3302	19,1105	0,979257	19,1305	0,979105	0,486645	0,236823	40,6871
41 | 19	10	1024	64	16	12	2	12	14782116	16040657	855274	4615634	19,0025	0,964301	-2,04993	-16,9526	18,7024	0,958344	18,7138	0,957776	0,542636	0,294454	43,2163
41 | 19	10	2048	64	32	12	2	12	14782116	16040657	855274	9218511	18,2614	0,926689	-4,09211	-14,1692	17,858	0,915075	17,8512	0,91363	0,637765	0,406744	88,5371
41 | 19	15	256	16	16	12	3	12	14782111	16040652	22751593	985496	24,1498	0,988149	-0,446404	-23,7034	23,1898	0,987616	23,3657	0,987464	0,933861	0,872096	42,4871
41 | 29	10	128	16	8	12	2	12	14782116	14557580	859258	560215	19,617	0,995146	-0,253636	-19,3634	19,4114	0,994672	19,419	0,994777	0,449272	0,201845	16,086
41 | 29	10	256	16	16	12	2	12	14782116	14557580	859258	1106073	19,526	0,990526	-0,503452	-19,0225	19,3115	0,989555	19,3187	0,989635	0,459233	0,210895	38,5402
41 | 29	10	512	32	16	12	2	12	14782116	14557580	859258	2196904	19,3474	0,981468	-1,00766	-18,3398	19,1105	0,979257	19,1165	0,979278	0,483652	0,233919	38,0266
41 | 29	10	1024	64	16	12	2	12	14782116	14557580	859258	4377785	18,9851	0,963086	-2,01679	-16,9683	18,7024	0,958344	18,7058	0,95824	0,530064	0,280968	38,4383
41 | 29	10	2048	64	32	12	2	12	14782116	14557580	859258	8738123	18,2268	0,924619	-4,02924	-14,1975	17,858	0,915075	17,856	0,914709	0,60807	0,369749	71,7437
41 | 29	15	256	16	16	12	3	12	14782111	14557575	19529691	937615	23,9363	0,98832	-0,445744	-23,4905	23,1898	0,987616	23,1405	0,987671	0,87814	0,771129	41,4684
41 | 40	10	128	16	8	12	2	12	14782116	13473535	966234	541598	19,7903	0,995387	-0,262178	-19,5281	19,4114	0,994672	19,7208	0,994516	0,473509	0,224211	16,0261
